instance_idx,instance,epsilon,runtime
2127,[0.38998406 0.74842169 0.23601171],0.163,58.81273007392883
2128,[0.42290601 0.14421798 0.17519971],0.11900000000000001,57.79904127120972
2129,[0.97002063 0.43946796 0.25438807],0.299,70.81178212165833
2130,[0.58953627 0.49036017 0.37484294],0.135,67.7766981124878
2131,[0.94880571 0.31646063 0.42394201],0.227,66.39626836776733
2132,[0.68280403 0.96340101 0.87980544],0.399,71.5754029750824
2133,[0.93706582 0.36297696 0.71596722],0.247,68.00580930709839
2134,[0.82144619 0.02099238 0.96721755],0.023,65.61508822441101
2135,[0.60587186 0.84153697 0.66249465],0.321,68.35463166236877
2136,[0.94094223 0.69071966 0.7891326 ],0.399,71.15159487724304
2137,[0.2396927  0.55274058 0.30937612],0.005,63.45385479927063
2138,[0.95857951 0.36283402 0.81259106],0.259,67.0716450214386
2139,[0.12205771 0.86702147 0.85800894],0.095,68.09544658660889
2140,[0.38850424 0.90986525 0.39312199],0.245,68.15825319290161
2141,[0.97809089 0.25549354 0.09025643],0.211,66.65386986732483
2142,[0.82278869 0.23541673 0.21044828],0.123,68.3784966468811
2143,[0.89033512 0.91596804 0.63160961],0.399,70.77727437019348
2144,[0.87955445 0.76679162 0.40644141],0.399,71.33226561546326
2145,[0.03387593 0.86651303 0.82354361],0.067,67.3831045627594
2146,[0.94058934 0.47108945 0.413117  ],0.301,57.62062668800354
2147,[0.84124646 0.71742797 0.87713189],0.377,68.59287738800049
2148,[0.82032201 0.82446184 0.69877021],0.399,70.86181306838989
2149,[0.5063807  0.35183332 0.6023593 ],0.027000000000000003,63.40365266799927
2150,[0.813508   0.7378311  0.45343612],0.371,69.28387427330017
2151,[0.02734442 0.0520225  0.64185417],0.357,59.38855743408203
2152,[0.63021614 0.79107436 0.13611957],0.305,67.27846765518188
2153,[0.40069642 0.62832238 0.31383149],0.109,65.6436698436737
2154,[0.08223161 0.15776492 0.5165695 ],0.279,68.94058442115784
2155,[0.96976171 0.83068346 0.76348071],0.399,71.58854341506958
2156,[0.84704406 0.6857897  0.79297396],0.363,59.60043811798096
2157,[0.31942476 0.47836494 0.73547714],0,60.255666732788086
2158,[0.26069906 0.6875035  0.8271161 ],0.07300000000000001,67.92105388641357
2159,[0.79960709 0.19861346 0.41465282],0.095,68.25738573074341
2160,[0.18189977 0.87646023 0.94515933],0.129,67.36199998855591
2161,[0.88442917 0.22444146 0.94851295],0.155,66.40444755554199
2162,[0.92320436 0.64713614 0.62688208],0.381,60.156187295913696
2163,[0.906935   0.97421516 0.19832237],0.399,71.30071306228638
2164,[0.70132877 0.16870038 0.40118507],0.031,56.30306077003479
2165,[0.42894104 0.26011845 0.08906682],0.059000000000000004,64.72544288635254
2166,[0.36795112 0.94732632 0.11736918],0.251,56.96967816352844
2167,[0.71865294 0.43515051 0.92037974],0.177,67.86120796203613
2168,[0.45374826 0.67364421 0.11853155],0.157,57.68845558166504
2169,[0.71363268 0.19049246 0.86230051],0.051000000000000004,55.45770859718323
2170,[0.78219845 0.28792758 0.49436148],0.131,57.740562200546265
2171,[0.13020416 0.85640438 0.6003252 ],0.091,68.28610897064209
2172,[0.99530738 0.28293197 0.67746681],0.23700000000000002,58.27870059013367
2173,[0.4183675  0.40851114 0.14597477],0.009000000000000001,63.51252031326294
2174,[0.29021538 0.26176042 0.61793081],0.123,67.03877091407776
2175,[0.90741851 0.36961787 0.68454852],0.23500000000000001,68.22284603118896
2176,[0.458205   0.0102365  0.13323095],0.167,68.18958187103271
2177,[0.32327204 0.69306118 0.68713508],0.107,56.351295948028564
2178,[0.71340489 0.70849353 0.73640957],0.309,66.76724314689636
