instance_idx,instance,epsilon,runtime
2070,[0.95482065 0.47315576 0.56639051],0.313,60.856956005096436
2071,[0.09074627 0.80673949 0.22282198],0.045,68.7497136592865
2072,[0.9504551  0.46296586 0.15769192],0.301,59.72386598587036
2073,[0.60332678 0.24999666 0.11286025],0.023,68.46105194091797
2074,[0.48607122 0.50414457 0.71133188],0.10300000000000001,66.93845891952515
2075,[0.90048167 0.21731871 0.82520588],0.169,61.74695801734924
2076,[0.4535287  0.12597148 0.7509792 ],0.095,70.17436695098877
2077,[0.38599884 0.56023722 0.00286287],0.067,68.77259826660156
2078,[0.24725122 0.57922291 0.03061124],0.007,55.79275560379028
2079,[0.13144304 0.52472012 0.22021012],0.07100000000000001,69.09238457679749
2080,[0.7043518  0.89276873 0.16431973],0.391,72.72830557823181
2081,[0.37163166 0.07160213 0.93966651],0.159,69.44339323043823
2082,[0.7124407  0.14385666 0.23230629],0.027000000000000003,66.34879612922668
2083,[0.61395898 0.29913801 0.15725764],0.053000000000000005,66.46138310432434
2084,[0.83526579 0.27593005 0.70088017],0.161,71.07735705375671
2085,[0.39697005 0.23857959 0.86480523],0.065,67.66695976257324
2086,[0.70343306 0.41315095 0.626953  ],0.163,60.69372892379761
2087,[0.13669332 0.9751894  0.75180392],0.187,61.69203209877014
2088,[0.82345332 0.20623622 0.83968265],0.125,58.79370594024658
2089,[0.31794769 0.34046521 0.66745409],0.059000000000000004,67.71004867553711
