instance_idx,instance,epsilon,runtime
47,"[0.19936068 0.02038002 0.15238235 0.12622097 0.66945884 0.56396958
 0.21796454 0.69946497 0.7668981  0.16778914]",0.083,67.52567863464355
48,"[0.74792565 0.11453287 0.81930117 0.96472077 0.10809875 0.02567843
 0.31195724 0.67734729 0.95817284 0.39665444]",0.067,67.4483892917633
49,"[0.07599648 0.69061442 0.6272424  0.10190131 0.77248088 0.85029324
 0.60041161 0.12105507 0.98384435 0.78263535]",0.109,66.7944860458374
50,"[0.42837801 0.37057088 0.50596079 0.34123117 0.84957563 0.82233092
 0.10553887 0.96078757 0.63558511 0.82870731]",0.031,56.664352893829346
51,"[0.43548715 0.7337953  0.96547373 0.2700824  0.80819922 0.53817291
 0.4834975  0.43557449 0.73102621 0.26839554]",0.093,67.66875338554382
52,"[0.83073102 0.0866629  0.88163118 0.24386344 0.46470847 0.6103317
 0.3789893  0.0287     0.85095284 0.18183986]",0.083,67.72799921035767
53,"[0.79783236 0.34033884 0.88031998 0.70118375 0.27626858 0.01015111
 0.94806258 0.08561296 0.72007466 0.48857785]",0.08700000000000001,58.857378244400024
54,"[0.69060934 0.6459029  0.49082134 0.79293287 0.09305335 0.2215964
 0.69178716 0.30620603 0.58155559 0.47326049]",0.031,57.21363854408264
55,"[0.42550381 0.74593544 0.3307913  0.70285494 0.27091643 0.25140368
 0.12065588 0.19258429 0.11955474 0.53586397]",0.231,59.128355979919434
56,"[0.18514984 0.21638464 0.48419859 0.724585   0.97660702 0.52463687
 0.2829987  0.10052611 0.19411758 0.22748316]",0.045,67.53880405426025
57,"[0.01414837 0.53413509 0.27431133 0.97429493 0.55335897 0.69741739
 0.12627949 0.8684612  0.49087869 0.87271973]",0.117,68.20952558517456
58,"[0.46939694 0.4404688  0.18436367 0.05137672 0.9410636  0.47772919
 0.82211565 0.40070744 0.07408217 0.62944571]",0,60.54738163948059
59,"[0.14919758 0.5628396  0.30383551 0.99391812 0.11845156 0.76444345
 0.60631765 0.79074083 0.22568714 0.52257254]",0.093,67.80864143371582
60,"[0.442721   0.86016667 0.99003126 0.30538024 0.62102732 0.60963091
 0.74008931 0.9475902  0.20778791 0.2110252 ]",0.069,58.67520570755005
61,"[0.15705709 0.17381355 0.07506487 0.00267572 0.4505037  0.5938112
 0.29125929 0.23147623 0.70695583 0.70298756]",0.129,68.19774723052979
62,"[0.68738492 0.92391104 0.78782803 0.62505801 0.66118304 0.93366846
 0.42513897 0.54456238 0.64763472 0.90841145]",0.161,69.72190260887146
63,"[0.07140984 0.16592279 0.30761181 0.74895772 0.56920705 0.28861059
 0.12435366 0.68867799 0.69973368 0.94267624]",0.157,59.292787075042725
64,"[0.49379522 0.08044185 0.03986078 0.43202866 0.32232158 0.2503679
 0.09132689 0.9619111  0.83595861 0.57519911]",0.161,69.57424831390381
65,"[0.99957242 0.67228158 0.26951103 0.04023167 0.75626883 0.47050082
 0.65150949 0.91607279 0.18148915 0.58532963]",0.093,67.81802463531494
66,"[0.4917258  0.09124241 0.34796106 0.33330839 0.67013351 0.85773309
 0.32980366 0.69367367 0.2882178  0.94519354]",0.007,55.096861839294434
67,"[0.55009661 0.45482591 0.31451716 0.32327379 0.97018473 0.40417506
 0.51459625 0.98811921 0.65766039 0.54259359]",0.085,68.55447769165039
68,"[0.18758254 0.36177936 0.75644315 0.62540874 0.75999054 0.20355824
 0.54921964 0.92767276 0.4381161  0.69825003]",0.029,66.27312517166138
69,"[0.97314682 0.60887167 0.23929746 0.15837816 0.55083901 0.55225141
 0.0932092  0.99225714 0.91292988 0.46144789]",0.029,65.65208458900452
70,"[0.83214317 0.4983755  0.71660333 0.50887202 0.2734249  0.83472395
 0.98024463 0.24373091 0.55126508 0.38358601]",0.187,60.51824140548706
71,"[0.50824089 0.87932626 0.86402693 0.2762474  0.79000618 0.41494242
 0.93424839 0.50773768 0.82054947 0.28283898]",0.187,59.55750393867493
72,"[0.58693772 0.99890233 0.48964035 0.14859542 0.53858058 0.34512394
 0.55191742 0.54343006 0.45534462 0.32177735]",0.015,64.88815093040466
73,"[0.69749843 0.57179764 0.23356245 0.77554448 0.0436473  0.74470515
 0.70522788 0.8114089  0.38607875 0.66368883]",0.013000000000000001,55.167304277420044
74,"[0.98081814 0.49532865 0.03701961 0.50229115 0.59018043 0.86970031
 0.87419037 0.44030621 0.52595109 0.45692807]",0.227,67.11210179328918
75,"[0.40997862 0.65478133 0.15436122 0.4694906  0.96920363 0.33856123
 0.6927046  0.64983665 0.85176529 0.85234134]",0.111,67.62997889518738
76,"[0.3800094  0.31666115 0.71871743 0.75940181 0.87238302 0.0358991
 0.06842075 0.63116102 0.9209291  0.99742592]",0.045,67.17324900627136
77,"[0.43397147 0.09844313 0.63374783 0.87257923 0.44367855 0.69400116
 0.90342406 0.04599097 0.79614347 0.29336778]",0.149,70.68981909751892
78,"[0.1455698  0.53116632 0.56592806 0.79251947 0.16998365 0.07896835
 0.8708396  0.61971037 0.24082979 0.91282902]",0.129,68.38519811630249
79,"[0.46114991 0.25397734 0.25532671 0.00939743 0.80463308 0.90120942
 0.67761089 0.15797562 0.44172978 0.34556562]",0.109,66.87390041351318
80,"[0.6389387  0.42430894 0.25009822 0.84530393 0.199217   0.38469325
 0.48320806 0.2372057  0.57192269 0.57481193]",0.053000000000000005,65.95700287818909
81,"[0.29523075 0.97794448 0.65822982 0.27448038 0.56592902 0.68579949
 0.74466884 0.04904425 0.60640649 0.49672729]",0.069,58.483744859695435
82,"[0.28619415 0.79886012 0.607065   0.35232096 0.63661788 0.62089116
 0.67776446 0.72092838 0.65918154 0.83833712]",0.067,67.77062797546387
83,"[0.9034037  0.64634061 0.30893288 0.44082319 0.57957381 0.73235977
 0.09013338 0.29511045 0.74748086 0.17564007]",0.045,67.16497731208801
84,"[0.53940776 0.97148958 0.53085237 0.91348697 0.83047262 0.25697008
 0.82468981 0.48184783 0.80648849 0.74655935]",0.159,68.49967432022095
85,"[0.11516971 0.96289329 0.14075702 0.96650021 0.8601406  0.72421671
 0.97994224 0.96726975 0.80458764 0.36577505]",0.20500000000000002,67.51477193832397
86,"[0.01391866 0.53657231 0.45478603 0.67282838 0.6723408  0.58456009
 0.8224173  0.94029189 0.1083461  0.2338219 ]",0.009000000000000001,64.33434724807739
87,"[0.88423485 0.56140738 0.91525591 0.2213672  0.06321704 0.82385535
 0.90938764 0.30219017 0.40829586 0.13977701]",0.133,68.04746985435486
